cluster_id,observation_count,active_days,first_detection,last_detection,time_span_days,start_latitude,start_longitude,end_latitude,end_longitude,total_movement_distance_km,movement_rate_km_per_day,movement_bearing_degrees,movement_direction,movement_confidence,movement_status,direction,movement_pattern,direction_confidence,direction_confidence_score,direction_available
49,10,3,2026-08-01T19:25:00+00:00,2026-08-03T20:27:00+00:00,2.043,22.35926,87.29333,22.36121,87.29737,0.469,0.23,62.42,NE,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
50,12,3,2026-08-01T19:25:00+00:00,2026-08-03T20:27:00+00:00,2.043,22.37682,87.27842,22.37657,87.27838,0.028,0.014,188.88,S,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
51,3,1,2026-08-01T19:25:00+00:00,2026-08-01T20:19:00+00:00,0.037,23.64753,85.43897,23.64753,85.43897,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
52,2,1,2026-08-01T19:25:00+00:00,2026-08-01T19:25:00+00:00,0.0,23.66469,84.99832,23.66469,84.99832,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
53,20,2,2026-08-01T19:25:00+00:00,2026-08-02T20:02:00+00:00,1.026,23.6806,86.39608,23.68049,86.39709,0.104,0.102,96.73,E,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
54,7,2,2026-08-01T19:25:00+00:00,2026-08-02T20:02:00+00:00,1.026,23.68786,87.12221,23.69143,87.11569,0.774,0.754,300.89,NW,LOW,MOVING,NW,directional,PRELIMINARY,33,True
55,4,2,2026-08-01T19:25:00+00:00,2026-08-02T20:02:00+00:00,1.026,23.71762,86.44443,23.71371,86.45043,0.749,0.73,125.46,SE,LOW,MOVING,SE,directional,PRELIMINARY,33,True
56,1,1,2026-08-01T19:25:00+00:00,2026-08-01T19:25:00+00:00,0.0,23.7275,85.00492,23.7275,85.00492,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
57,2,1,2026-08-01T19:25:00+00:00,2026-08-01T20:19:00+00:00,0.037,23.73708,86.43409,23.73708,86.43409,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
58,16,2,2026-08-01T19:25:00+00:00,2026-08-02T20:02:00+00:00,1.026,23.76053,86.40311,23.76307,86.40215,0.299,0.291,340.9,N,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
59,4,1,2026-08-01T19:25:00+00:00,2026-08-01T20:19:00+00:00,0.037,24.11904,86.86152,24.11904,86.86152,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
60,6,1,2026-08-01T19:30:00+00:00,2026-08-01T20:25:00+00:00,0.038,8.82591,78.08715,8.82591,78.08715,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
